class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-01,17978,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-02,21054,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-03,22083,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-04,20195,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-05,20555,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-06,20780,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-07,20515,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-08,20282,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-09,21285,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-10,21293,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-11,20335,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-12,18568,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-13,21700,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-14,18654,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-15,19926,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-16,19734,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-17,20428,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-18,18292,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-19,18844,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-20,18340,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-21,18152,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-22,20407,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-23,21469,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-24,20350,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-25,19233,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-26,18280,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-27,18802,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-28,20548,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-29,19991,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-30,20381,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-01-31,21033,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-02-01,19626,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-02-02,18875,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-02-03,18596,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-02-04,22043,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-02-05,19790,Number,13-05-21
