"date","Poland","Norway","Australia","European Union average","New Zeland"
19-12,  2.9,    3.9,    5.05,   6.6,    5.246
20-01,  3,  3.7,    5.263,  6.6,    5.311
20-02,  3,  3.5,    5.077,    6.5,    5.243
20-03,  3,  3.6,    5.219,  6.4,    5.527
20-04,  3.1,    4.1,    6.352,  6.7,    8.793
20-05,  3.3,    4.6,    7.061,  6.9,    8.638
20-06,  3.4,    5.2,    7.434,  7.3,    8.297
20-07,  3.4,    5.2,    7.478,  7.7,    8.088
20-08,  3.3,    5.3,    6.805,  7.8,    7.559
20-09,  3.3,    5.1,    6.91,   7.8,    7.34
20-10,  3.2,    5.2,    6.98,   7.6,    7.049
20-11,  3.2,    5,  6.818,  7.4,    6.879
20-12,  3.2,    5,  6.59,   7.4,    6.816
21-01,  3.1,    4.9,    6.344,    7.4,    6.766
21-02,  3.1,    4.7,    5.83,   7.4,    6.625
21-03,  3.1,    4.6,    5.616,  7.3,    6.462


